id,title_de,title_en,subtitle_de,subtitle_en,year,page,image
1,DataSkop,DataSkop,User Interfaces & Visualisierungen zur Förderung von digitaler Souveränität,subtitle_en,2020,projects/dataskop,dataskop.png
2,PROTOTYP,PROTOTYP,Prototyping in Critical Design,Prototyping in Critical Design,2018,projects/prototyp,prototyp.jpg
3,ANCI,ANCI,Analysing networked climate images,Analysing networked climate images,2018,projects/anci,anic.jpg
4,DIGENTI,DIGENTI,Multi-modal Interaction for Disaster Management,Multi-modal Interaction for Disaster Management,2200,projects/digenti,digenti.jpg
5,Environmental Reports,Environmental Reports,UX/UI Analysis and Concept,UX/UI Analysis and Concept,2200,projects/environmental-reports,environmental-reports.jpg
6,Unfolding,Unfolding,Map & Geovisualization Library,Map & Geovisualization Library,2200,projects/unfolding,unfolding.jpg
7,Polizei Brandenburg,Brandenburg Police,UX/UI Design for a Government Portal,UX/UI Design for a Government Portal,2200,projects/polizei-brandenburg,polizei-brandenburg.jpg
8,MSNI,MSNI,Orts- und Kontext-basierte Dienste,Location and context-based services,2200,projects/msni,msni.jpg
9,Earth and Environment,Earth and Environment,Platform Design,Platform Design,2200,projects/earth-and-environment,earth-and-environment.jpg
10,Energy Atlas,Energy Atlas,Portal and Visualization Design for Rhineland-Palatinate,Portal and Visualization Design for Rhineland-Palatinate<,2200,projects/energy-atlas,enery-atlas.jpg
11,ProSeco,ProSeco,IT Security Dashboard,IT Security Dashboard,2200,projects/proseco,proseco.jpg
12,Venice Unfolding,Venice Unfolding,Tangible Geo-Visualization of Architectural Projects,Tangible Geo-Visualization of Architectural Projects,2200,projects/venice-unfolding,venice-unfolding.jpg
13,mæve,mæve,Tangible Exploration of Social and Intellectual Networks,Tangible Exploration of Social and Intellectual Networks,2200,projects/maeve,maeve.jpg
14,MACE,MACE,Metadata for Architectural Contents in Europe,Metadata for Architectural Contents in Europe,2200,projects/mace,mace.jpg
15,INCOM.org,INCOM.org,Communication plattform,Communication plattform,2200,projects/incom,incom.jpg
16,Fritzing,Fritzing,Physical Computing Platform,Physical Computing Platform,2200,projects/fritzing,fritzing.jpg
17,EcoViz,EcoViz,Research on transformational products,Research on transformational products,2200,projects/ecoviz,ecoviz.jpg
18,KatWarn,KatWarn,Location-Based Application Design,Location-Based Application Design,2200,projects/katwarn,katwarn.jpg
19,SASER,SASER,Visualizations for Network Security Dashboards,Visualizations for Network Security Dashboards,2200,projects/saser,saser.jpg
20,Powerdome,Powerdome,Interactive Visualizations in an Immersive Environment,Interactive Visualizations in an Immersive Environment,2200,projects/powerdome,powerdome.jpg
