Item type,Authors,Title,Journal,Publication year,Volume,Issue,Series,Pages,Editor,Booktitel,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,URLs,DOI,Abstract,Keywords,Series2
Conference Paper,"Morat P., Schwerdtfeger A., Heidmann F.",Nachtalb: A Multisensory Neurofeedback VR-Interface,,2022,,,,,,,Association for Computing Machinery,"New York, NY, USA",ACM SIGGRAPH 2022 Immersive Pavilion,"Vancouver, BC, Canada",2022,9781450393690,https://doi.org/10.1145/3532834.3536207;http://dx.doi.org/10.1145/3532834.3536207,10.1145/3532834.3536207,"Nachtalb is an immersive interface that enables brain-to-brain interaction using multisensory feedback. With the help of the g.tec Unicorn Hybrid Black brain-computer-interface (BCI), brain-activity-data is measured and translated visually with the Oculus Quest 2, tactilely with the bHaptics TactSuit and auditorily with 3D Sound. This intends to create a feedback loop that turns brain activity from data-input into sensory output which directly influences the brain activity data-input again.",,SIGGRAPH '22
Journal Paper,"Tost Val J., Schuster P., Heidmann F. ",Prototyping Inconvenience: A Pedagogical Experiment on Designing for Debate in Design Education,IxD&A Journal,2022,,51,,81–110,,,,,,,2022,,https://doi.org/10.55612/s-5002-051-004,10.55612/s-5002-051-004 ,"With design having more impact than ever, there is an increased need for critical inquiries into design research and education that engage designers to question established disciplinary assumptions. One prevailing myth is the convenience ideal: the obsession with comfort, efficiency, smoothness, and smartness that relates to a trend of envisioning super-convenient futures. By combining iterative prototyping, anti-solutionist strategies, and tactics of critical and speculative design, we built a counter-approach to conventional design processes: Inconvenient Design. With convenience as the topic for debate, we explored its potential in the course Stranger Things–Prototyping Inconvenience. This paper provides an overview of the approach and course format, using examples of student projects to illustrate how it encouraged them to reflect and debate directly in the design process in a tangible way, enabling them to craft alternatives. Lastly, we discuss the opportunities our methodological approach can bring to design research and education.","inconvenient design, design for debate, critical design, speculative design, prototyping, provocation, design fiction, design methods, research through design, design education",
Conference Workshop,"Heidmann F., Kienbaum J.",Wahrnehmungsstrukturen und User Experience des digitalen Kulturerbes. Ein Blick auf museale Online-Sammlungen,,2022,,,,411–414,,,,,Konferenzabstracts DHd2022. Kulturen des digitalen Gedächtnisses,"Potsdam, Germany",2022,,https://www.dhd2022.de/wp-content/uploads/2022/03/DHd2022_Book-of-Abstracts_Edition-01_2022-03-06_reduziert.pdf,10.5281/zenodo.6304590,Der Workshop hinterfragt partizipativ die Visualisierungskultur und Wahrnehmungs- bzw. Nutzungspraktiken digitaler Kulturerbe-Daten am Beispiel musealer Sammlungen im Web. Im Zentrum steht der Einsatz von Eyetracking-Verfahren sowie Methoden der Heuristischen Usability-Evaluation. Ausgehend von den Webseiten „explorativ” gestalteter Online Sammlungen werden die grafischen Benutzungsoberflächen als visuelle Schnittstelle zwischen interner Objektdatenbank und Rezipientenschaft kritisch beleuchtet.,,
Conference Paper,"Langer C., Heidmann F. & Wang, R. S.M.",Unfolding Spaces – Introduction of a Methodical-didactical Teaching Concept for a Virtual and Intercultural Cooperation Course in Art-based Research and Design Study Programmes,,2022,,,,72–77,,,,,"Proceedings of the international conference ""Universities of Tomorow: Global, Interdisciplinary, Digitized, Sustainable (UNITO)"" on November 4th, 2021",virtual,2022,,https://opus.htwg-konstanz.de/frontdoor/deliver/index/docId/2997/file/UNITO_Paper.pdf,,,,
Conference Paper,"Morat P., Schwerdtfeger A., Heidmann F.",In Case You Don’t Know What To Play: Framework for a VR Application That Manipulates Time Perception through Spatial Distortion,,2021,,,,609–613,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of Mensch Und Computer 2021,"Ingolstadt, Germany",2021,9781450386456,https://doi.org/10.1145/3473856.3474035;http://dx.doi.org/10.1145/3473856.3474035,10.1145/3473856.3474035,"In Case You Don’t Know What To Play is a framework for designing a Virtual Reality application that uses spatial distortion to influence the user’s visual perception and ultimately shall manipulate their sense of time. Spatial orientation allows us to judge distances regarding their temporal component. In particular, in self-motion we can estimate the duration it takes to cover a given distance, since time and spatial perception are connected. This connection can be broken with the help of Virtual Reality technology and a perceptual conflict can be created.","applied perception, gamification and serious games, virtual, mixed and augmented realities",MuC '21
Conference Paper,"Morat P., Schwerdtfeger A., Heidmann F.",Nachtalb: A Multisensory Neurofeedback VR-Interface,,2021,,,,,,,Association for Computing Machinery,"New York, NY, USA",SIGGRAPH Asia 2021 XR,"Tokyo, Japan",2021,9781450390750,https://doi.org/10.1145/3478514.3487621;http://dx.doi.org/10.1145/3478514.3487621,10.1145/3478514.3487621,"Nachtalb is an immersive interface that enables brain-to-brain interaction using multisensory feedback. With the help of the g.tec Unicorn Hybrid Black brain-computer-interface (BCI), brain-activity-data is measured and translated visually with the Oculus Quest 2, tactilely with the bHaptics TactSuit and auditorily with 3D Sound. This intends to create a feedback loop that turns brain activity from data-input into sensory output which directly influences the brain activity data-input again.","brain computer interfaces, virtual reality, extended reality, neurofeedback",SA '21 XR
Journal Paper,"Bludau M.J., Dörk M., Heidmann F. ",Relational Perspectives as Situated Visualizations of Art Collections,Digital Scholarship in the Humanities,2021,36,,,ii17–ii29,,,The European Association for Digital Humanities,,,,2021,,https://doi.org/10.1093/llc/fqab003,10.1093/llc/fqab00,"With relational perspectives, we examine the potential of traversing cultural collections along the richness of individual facets and relations through the process of developing an exploration-centered visualization. Cultural collections can contain thousands of artifacts, of which each typically possesses a diverse set of properties and individual facets constituting a unique relationship to the rest of the collection. Therefore, to create an appropriate representation of the complex data of each underlying artifact, oftentimes, it is not only interesting to get an overview of the entire collection from one perspective, but to explore the specific context of an artifact and the various relations it may have to other items",,
Editorship,"Schröder T., Heidmann F., Prytula, M. ",Gleich und doch verschieden: Herausforderungen an Städte im internationalen Vergleich,,2021,,,Studentische Forschung Urbane Zukunft,,,,Fachhochschule Potsdam,,,,2021,,https://opus4.kobv.de/opus4-fhpotsdam/frontdoor/index/index/docId/2486,,,,
Conference Paper,"Budinger K., Heidmann F.",Our Symbiotic Life: An Exploration of Interspecies Relations,,2019,,,,1349–1362,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2019 on Designing Interactive Systems Conference,"San Diego, CA, USA",2019,9781450358507,https://doi.org/10.1145/3322276.3323698;http://dx.doi.org/10.1145/3322276.3323698,10.1145/3322276.3323698,"We will explore four plausible futures and experiment on a speculative approach to investigate wicked problems [14]. Grounded in the field of design fiction, this work combines insights from the climate impact research community, technology meta trends, and plant science, all of which work as a basis for the exploration of relationships between humans, plants, and technology. Based on scenarios from the climate impact research community, we prototyped four plausible worlds and visualized exemplary scenes in the daily life of the plausible citizens. Sketching and low-fidelity prototyping supported the process of gaining knowledge and iterating on storytelling.","prototyping, design fiction, research through design, design methods, scenarios, visual storytelling",DIS '19
Incollection,"Beyrow M., Godau M., Heidmann F., Langer C., Wettach R., Mieg H. A. ",Inquiry-Based Learning in Design,,2019,,,,229–247,Mieg H. A.,Inquiry-Based Learning – Undergraduate Research. The German Multidisciplinary Experience,Spinger,,,,2019,,https://link.springer.com/book/10.1007/978-3-030-14223-0,10.1007/978-3-030-14223-0,,,
